Song,Artist,Album,Year,Genre,Discovery,Rank,Row,Position
Only in Dreams,Weezer,Weezer (Blue Album),1994,Rock,High School,1,10,1
In the Aeroplane Over the Sea,Neutral Milk Hotel,In the Aeroplane Over the Sea,1998,Alternative,College,2,10,2
The Past Is a Grotesque Animal,of Montreal,"Hissing Fauna, Are You the Destroyer?",2007,Alternative,Post-Grad,3,10,3
Jesus of Suburbia,Green Day,American Idiot,2004,Rock,Childhood,4,10,4
Thunder Road,Bruce Springsteen,Born to Run,1975,Rock,High School,5,10,5
Baba O'Riley,The Who,Who's Next,1971,Rock,High School,6,10,6
Limousine,Brand New,The Devil and God Are Raging Inside Me,2006,Rock,College,7,10,7
Dog Problems,The Format,Dog Problems,2006,Alternative,High School,8,10,8
"You, In Weird Cities",Jeff Rosenstock,We Cool?,2015,Punk,College,9,10,9
Across the Sea,Weezer,Pinkerton,1996,Rock,High School,10,10,10
I've Just Seen a Face,The Beatles,Help!,1965,Rock,High School,11,9,1
The Sounds of Silence,Simon & Garfunkel,Sounds of Silence,1966,Rock,High School,12,9,2
Rock 'N' Roll Suicide,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,1972,Rock,High School,13,9,3
Take It Easy,The Eagles,Eagles,1972,Rock,High School,14,9,4
I am trying to break your heart,Wilco,Yankee Hotel Foxtrot,2002,Alternative,College,15,9,5
Let's Not Shit Ourselves (To Love and Be Loved),Bright Eyes,"LIFTED: Or the Story Is in the Soil, Keep Your Ear to the Ground",2002,Alternative,Post-Grad,16,9,6
Two-Headed Boy Pt. 2,Neutral Milk Hotel,In the Aeroplane Over the Sea,1998,Alternative,College,17,9,7
Wish You Were Here,Pink Floyd,Wish You Were Here,1975,Rock,High School,18,9,8
Stay Home,American Football,American Football,1998,Alternative,College,19,9,9
Two Deliverances,The Hotelier,Goodness,2016,Punk,Post-Grad,20,9,10
Big Bird,AJJ,Knife Man,2011,Folk,College,21,8,1
Hannah Hunt,Vampire Weekend,Modern Vampires of the City,2013,Alternative,College,22,8,2
American Girl,Tom Petty and the Heartbreakers,Tom Petty & The Heartbreakers,1976,Rock,High School,23,8,3
All My Friends,LCD Soundsystem,Sound of Silver,2007,Rock,College,24,8,4
Desolation Row,Bob Dylan,Highway 61 Revisited,1965,Rock,Post-Grad,25,8,5
While My Guitar Gently Weeps,The Beatles,The Beatles (White Album),1968,Rock,High School,26,8,6
Cornerstone,Arctic Monkeys,Humbug,2009,Rock,High School,27,8,7
Helplessness Blues,Fleet Foxes,Helplessness Blues,2011,Folk,College,28,8,8
For Emma,Bon Iver,"For Emma, Forever Ago",2008,Alternative,Post-Grad,29,8,9
Father and Son,Yusuf / Cat Stevens,Tea for the Tillerman,1970,Folk,High School,30,8,10
Sprawl II (Mountains Beyond Mountains),Arcade Fire,The Suburbs,2010,Rock,College,31,7,1
Angeles,Elliott Smith,Either/Or,1997,Folk,College,32,7,2
Paradise by the Dashboard Light,Meat Loaf,Bat Out of Hell,1977,Rock,High School,33,7,3
All These Things That I've Done,The Killers,Hot Fuss,2004,Rock,High School,34,7,4
