StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,timer_First Click,timer_Last Click,timer_Page Submit,timer_Click Count,age_guess_2,impressions_1,impressions_2,impressions_3,impressions_4,impressions_5,impressions_6,impressions_7,impressions_8,free,associate_1,associate_2,associate_3,judge_1,judge_2,age,gen,race_1,race_2,race_3,race_4,race_5,race_6,race_6_TEXT,id,BEARD,GLASSES
4/28/19 11:48,4/28/19 11:49,0,206.21.170.24,100,51,1,4/28/19 11:49,R_rdLOqqIeIWlKpP3,,,,,39.13969421,-84.47059631,anonymous,EN,11.256,11.256,11.687,1,24,3,5,6,6,5,4,3,5,,6,6,5,5,5,20,1,1,,,,,,,,1,1
4/28/19 11:48,4/28/19 11:49,0,108.46.151.50,100,88,1,4/28/19 11:49,R_3J4uHdB0sYJL3ho,,,,,40.7263031,-73.98179626,anonymous,EN,1.296,1.296,15.108,1,25,3,4,5,5,5,5,5,5,They seem like a happy person. ,4,4,3,3,5,32,1,,,,1,,,,,0,0
4/28/19 11:48,4/28/19 11:50,0,66.91.99.250,100,102,1,4/28/19 11:50,R_2ctMhs5N0xsbfh8,,,,,20.89660645,-156.5036011,anonymous,EN,0.69,14.766,15.008,11,25,4,6,6,6,5,5,7,7,jolly person and easy to get along with,4,4,4,4,4,23,2,,,,1,,,,,0,0
4/28/19 11:48,4/28/19 11:50,0,71.48.149.44,100,94,1,4/28/19 11:50,R_W9z1Y6rsCBwo253,,,,,38.09950256,-78.40850067,anonymous,EN,0,0,13.274,0,25,5,5,6,6,4,5,5,5,,5,5,4,6,6,50,1,1,,,,,,,,0,1
4/28/19 11:49,4/28/19 11:50,0,47.34.36.106,100,73,1,4/28/19 11:50,R_3fVFiMVCXjFAYjY,,,,,43.52139282,-88.19249725,anonymous,EN,0,0,11.064,0,20,4,4,4,5,4,3,5,4,,5,5,4,5,5,43,1,1,,,,,,,,0,0
4/28/19 11:48,4/28/19 11:50,0,32.210.175.104,100,105,1,4/28/19 11:50,R_svCkfRphc5nLzZT,,,,,41.46820068,-72.57510376,anonymous,EN,4.068,4.068,12.427,1,25,4,6,6,7,4,4,6,5,he needs to shave,5,4,3,6,6,28,2,1,,,,,,,,1,0
4/28/19 11:49,4/28/19 11:50,0,64.121.102.112,100,58,1,4/28/19 11:50,R_2U0o2g0ERITC40X,,,,,40.58850098,-75.46420288,anonymous,EN,1.486,1.486,11.336,1,24,6,5,7,7,4,6,5,5,none,7,5,6,5,6,27,1,1,,,,,,,,0,1
4/28/19 11:48,4/28/19 11:50,0,98.190.60.183,100,122,1,4/28/19 11:50,R_3e5noAaLxpypf9z,,,,,37.05799866,-76.46070099,anonymous,EN,0,0,15.159,0,23,5,5,6,7,5,5,6,4,The person seems to be happy.,6,6,5,6,6,556,1,,1,,,,,,,1,1
4/28/19 11:48,4/28/19 11:50,0,68.196.25.162,100,112,1,4/28/19 11:50,R_pnhowugLcrLzCjT,,,,,40.98640442,-74.11119843,anonymous,EN,0,0,11.562,0,24,3,7,7,7,4,4,6,5,The person appeared very happy and positive. ,6,6,6,5,6,27,2,1,,,,,,,,0,0
4/28/19 11:48,4/28/19 11:50,0,174.199.33.3,100,110,1,4/28/19 11:50,R_UuKcn9D7wqVOmnT,,,,,41.85009766,-72.46489716,anonymous,EN,0,0,11.161,0,31,4,6,5,3,4,4,3,5,"He's a little bit ""dorky"".",5,6,5,4,5,39,1,1,,,,,,,,1,1
